"Vehicle registrations, by type of vehicle and fuel type 1 2 3"
"Frequency: Annual"
"Table: 23-10-0308-01"
"Release date: 2025-10-17"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,
"Fuel Type","All fuel types","Gasoline","Diesel","Battery electric","Hybrid electric","Plug-in hybrid electric","Other fuel types 4"
"Statistics","Number of vehicles","Number of vehicles","Number of vehicles","Number of vehicles","Number of vehicles","Number of vehicles","Number of vehicles"
"Vehicle Type","2024","2024","2024","2024","2024","2024","2024"
"Total, road motor vehicle registrations","26,787,718","23,743,959","1,763,076","491,083","586,203","197,591","5,806"
"Total, vehicles weighing 4,536 kilograms or less 5 6","24,550,192","22,617,775","660,432","487,618","585,978","197,581","808"
"Passenger cars, weighing 4,536 kilograms or less","8,591,550","8,008,824","100,842","202,710","206,840","72,031","303"
"Multi-purpose vehicles, weighing 4,536 kilograms or less 7","10,284,937","9,481,072","96,377","268,283","322,069","117,116","20"
"Pickup trucks, weighing 4,536 kilograms or less 8","4,130,215","3,675,804","406,671","13,363","34,307","3","67"
"Vans, weighing 4,536 kilograms or less 9","1,539,629","1,449,441","55,371","3,243","22,762","8,431","381"
"Other vehicles, weighing 4,536 kilograms or less 10","3,861","2,634","1,171","19","0","0","37"
"Total, vehicles weighing 4,536 to 11,793 kilograms 5 11","709,010","239,163","468,783","994","5","2","63"
"Total, vehicles weighing 11,794 kilograms or more 5 12","605,014","19,480","582,961","..","..","..",".."
"Buses 13","65,641","..","..","..","..","..",".."
"Motorcycles and mopeds","857,861","..","..","..","..","..",".."

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Starting with 2017 registration data, a new and improved method to assign vehicle types was used. As a result, comparisons to table 23-10-0067-01 is not recommended."
2,"This table excludes vehicles that were determined to have no Gross Vehicle Weight Rate (GVWR) and/or unknown vehicles types."
3,"This tables excludes trailers and off-road categories such as snowmobiles, golf carts, etcetera."
4,"Other fuel types include liquid propane, natural gas, hydrogen, etcetera."
5,"Weight refers to Gross Vehicle Weight Rating (GVWR) which is the maximum weight a vehicle is designed to carry. Manufacturers set the GVWR."
6,"Light-duty vehicles refer to vehicles with a GVWR less than or equal to 4,536 kilograms (0 - 10, 000 pounds) and includes GVWR classes 1 and 2."
7,"Multi-purpose vehicles include sports utility vehicles (SUVs) and crossovers."
8,"Pickup truck counts can be obtained in two pickup truck categories: weighing less than 4,536 kg (GVWR classes 1 and 2), and in the category weighing between 4,536 kg and 11,793 kg (GVWR class 3)."
9,"Vans include all minivans and cargo vans."
10,"Other vehicles include incomplete vehicles that require further manufacturing operations to become a completed vehicle, trucks and/or recreational vehicles."
11,"Medium-duty vehicles refer to vehicles with a GVWR between 4,536 kilograms to 11,793 kilograms (10,001 to 26,000 pounds) and includes GVWR classes 3, 4, 5 and 6."
12,"Heavy-duty vehicles refer to vehicles with a GVWR greater than or equal to 11,794 kilograms (26,001 pounds and greater) and includes GVWR classes 7 and 8."
13,"Bus registrations include school buses, urban transit buses, interurban passenger buses, minibuses and other buses."



"How to cite: Statistics Canada. Table 23-10-0308-01  Vehicle registrations, by type of vehicle and fuel type"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310030801
