"Population estimates, July 1, by census metropolitan area and census agglomeration, 2021 boundaries 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 17-10-0148-01"
"Release date: 2025-01-16"
"Geography: Canada, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

"Gender","Total - gender"
"Age group 8","All ages"
"Geography","2024"
,"Persons"
"High River (CA), Alberta","15,696"
"Strathmore (CA), Alberta","15,502"
"Canmore (CA), Alberta","17,929"
"Sylvan Lake (CA), Alberta","18,352"
"Lacombe (CA), Alberta","13,697"
"Camrose (CA), Alberta","19,957"
"Grande Prairie (CA), Alberta","70,383"
"Wood Buffalo (CA), Alberta","82,221"
"Wetaskiwin (CA), Alberta","12,771"
"Cranbrook (CA), British Columbia","29,810"
"Nelson (CA), British Columbia","20,371"
"Trail (CA), British Columbia","15,153"
"Penticton (CA), British Columbia","49,637"
"Vernon (CA), British Columbia","73,445"
"Salmon Arm (CA), British Columbia","21,059"
"Squamish (CA), British Columbia","29,132"
"Ladysmith (CA), British Columbia","16,611"
"Duncan (CA), British Columbia","50,601"
"Parksville (CA), British Columbia","32,498"
"Port Alberni (CA), British Columbia","27,679"
"Courtenay (CA), British Columbia","69,672"
"Campbell River (CA), British Columbia","43,721"
"Powell River (CA), British Columbia","19,018"
"Williams Lake (CA), British Columbia","25,059"
"Quesnel (CA), British Columbia","24,225"
"Prince Rupert (CA), British Columbia","14,087"
"Terrace (CA), British Columbia","21,766"
"Prince George (CA), British Columbia","98,808"
"Dawson Creek (CA), British Columbia","20,140"
"Fort St. John (CA), British Columbia","30,979"
"Whitehorse (CA), Yukon","38,000"
"Yellowknife (CA), Northwest Territories","22,735"
"All areas outside census metropolitan areas and census agglomerations, Canada","6,330,166"
"Area outside census metropolitan areas and census agglomerations, Newfoundland and Labrador","245,885"
"Area outside census metropolitan areas and census agglomerations, Prince Edward Island","64,284"
"Area outside census metropolitan areas and census agglomerations, Nova Scotia","317,496"
"Area outside census metropolitan areas and census agglomerations, New Brunswick","301,212"
"Area outside census metropolitan areas and census agglomerations, Quebec","1,620,647"
"Area outside census metropolitan areas and census agglomerations, Ontario","1,536,301"
"Area outside census metropolitan areas and census agglomerations, Manitoba","406,445"
"Area outside census metropolitan areas and census agglomerations, Saskatchewan","400,221"
"Area outside census metropolitan areas and census agglomerations, Alberta","807,285"
"Area outside census metropolitan areas and census agglomerations, British Columbia","558,531"
"Area outside census metropolitan areas and census agglomerations, Yukon","8,704"
"Area outside census metropolitan areas and census agglomerations, Northwest Territories","21,996"
"Area outside census metropolitan areas and census agglomerations, Nunavut","41,159"
"All census metropolitan areas and census agglomerations, Newfoundland and Labrador","299,362"
"All census metropolitan areas, Newfoundland and Labrador","239,316"
"All census agglomerations, Newfoundland and Labrador","60,046"
"All census metropolitan areas and census agglomerations, Prince Edward Island","114,266"
"All census agglomerations, Prince Edward Island","114,266"
"All census metropolitan areas and census agglomerations, Nova Scotia","758,878"
"All census metropolitan areas, Nova Scotia","530,167"
"All census agglomerations, Nova Scotia","228,711"
"All census metropolitan areas and census agglomerations, New Brunswick","553,143"
"All census metropolitan areas, New Brunswick","452,969"
"All census agglomerations, New Brunswick","100,174"
"All census metropolitan areas and census agglomerations, Quebec","7,435,397"
"All census metropolitan areas, Quebec","6,583,650"
"All census agglomerations, Quebec","851,747"
"All census metropolitan areas and census agglomerations, Ontario","14,587,815"
"All census metropolitan areas, Ontario","13,426,602"
"All census agglomerations, Ontario","1,161,213"
"All census metropolitan areas and census agglomerations, Manitoba","1,087,856"
"All census metropolitan areas, Manitoba","941,641"
"All census agglomerations, Manitoba","146,215"
"All census metropolitan areas and census agglomerations, Saskatchewan","839,644"
"All census metropolitan areas, Saskatchewan","649,368"
"All census agglomerations, Saskatchewan","190,276"
"All census metropolitan areas and census agglomerations, Alberta","4,081,438"
"All census metropolitan areas, Alberta","3,663,098"
"All census agglomerations, Alberta","418,340"
"All census metropolitan areas and census agglomerations, British Columbia","5,139,899"
"All census metropolitan areas, British Columbia","4,406,428"
"All census agglomerations, British Columbia","733,471"
"All census metropolitan areas and census agglomerations, Yukon","38,000"
"All census agglomerations, Yukon","38,000"
"All census metropolitan areas and census agglomerations, Northwest Territories","22,735"
"All census agglomerations, Northwest Territories","22,735"




Footnotes:
1,"Population estimates based on the Standard Geographical Classification (SGC) 2021 as delineated in the 2021 Census."
